iter	Passed	Remaining
455	17614595	1699653
456	17652994	1661003
457	17691244	1622341
458	17730202	1583743
459	17768609	1545096
460	17807017	1506450
461	17846051	1467857
462	17884721	1429232
463	17922812	1390563
464	17960397	1351857
465	17998545	1313198
466	18037324	1274586
467	18075508	1235932
468	18114351	1197323
469	18152790	1158688
470	18191947	1120098
471	18230853	1081491
472	18269011	1042839
473	18306854	1004173
474	18345694	965562
475	18384900	926969
476	18422837	888312
477	18461543	849694
478	18499807	811056
479	18537568	772398
480	18575308	733744
481	18613154	695097
482	18651415	656468
483	18690072	617853
484	18728163	579221
485	18766518	540599
486	18804832	501977
487	18843619	463367
488	18881676	424741
489	18919666	386115
490	18958057	347500
491	18995974	308877
492	19034190	270262
493	19073346	231660
494	19111638	193046
495	19149460	154431
496	19188088	115823
497	19227187	77217
498	19265091	38607
499	19302872	0
